"","aac","ant","aph","bla","cat","dfr","fos","mdf","mef","mph","sul","tet"
"705963",0,0,0,0,0,0,0,1,0,0,0,0
"706090",0,0,0,0,0,0,0,1,0,0,0,0
"707404",0,0,1,0,0,1,0,1,0,0,1,0
"707414",0,0,0,1,0,0,0,1,0,0,0,1
"707448",0,0,1,1,0,0,0,1,0,0,1,0
"707465",0,0,1,1,0,0,0,1,0,0,1,1
"707477",0,1,0,1,0,1,0,1,0,1,1,0
"707590",0,1,1,0,0,1,0,1,1,0,1,1
"707622",1,1,1,1,0,1,0,1,0,1,1,1
"707667",0,0,0,0,0,0,0,1,0,0,0,0
"707680",0,1,0,1,1,1,0,1,0,0,0,0
"707708",1,0,0,1,0,0,0,1,0,0,0,0
"707732",0,0,0,0,0,0,0,1,0,0,0,0
"707797",0,0,0,0,0,0,0,1,0,0,0,0
"707870",1,0,0,1,0,0,0,1,0,0,0,1
"707970",0,0,0,0,0,0,0,1,0,0,0,0
"707971",0,1,1,0,0,1,0,1,0,1,1,1
"707978",0,0,0,0,0,0,0,1,0,0,0,0
"708018",0,0,0,1,0,0,0,1,0,0,0,0
"708027",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR1",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR2",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR3",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR4",0,0,1,0,0,0,0,1,0,0,1,1
"ECOR5",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR6",0,0,0,0,0,0,0,1,0,0,0,1
"ECOR7",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR8",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR9",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR10",0,0,0,1,0,0,0,1,0,0,0,0
"ECOR11",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR12",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR13",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR15",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR16",0,0,1,0,0,0,0,1,0,0,0,1
"ECOR17",0,0,1,0,0,0,0,1,0,0,1,1
"ECOR18",0,0,1,0,0,0,0,1,0,0,1,1
"ECOR19",0,0,1,0,0,0,0,1,0,0,1,1
"ECOR20",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR21",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR22",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR23",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR24",0,0,1,0,0,0,0,1,0,0,1,0
"ECOR25",0,0,1,0,0,0,0,1,0,0,1,0
"ECOR26",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR27",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR28",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR29",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR30",0,0,1,0,0,0,0,1,0,0,0,1
"ECOR31",0,1,1,1,0,0,0,1,0,0,1,1
"ECOR32",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR33",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR34",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR35",0,0,0,1,0,0,0,1,0,0,0,0
"ECOR36",0,0,0,1,0,0,0,1,0,0,0,0
"ECOR37",0,0,1,0,1,0,0,1,0,0,0,0
"ECOR38",0,0,0,0,0,0,0,1,0,0,0,1
"ECOR39",0,0,0,0,0,0,0,1,0,0,0,1
"ECOR40",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR41",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR42",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR43",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR44",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR45",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR46",0,0,0,0,0,0,0,1,0,0,0,1
"ECOR47",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR48",0,1,0,0,0,0,0,1,0,0,1,1
"ECOR51",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR52",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR53",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR55",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR56",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR57",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR58",0,0,0,0,0,0,1,1,0,0,0,0
"ECOR59",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR60",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR61",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR62",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR63",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR65",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR66",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR67",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR68",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR70",0,0,0,0,0,0,0,1,0,0,1,0
"ECOR71",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR72",0,0,0,0,0,0,0,1,0,0,0,0
"ESBL15",0,0,0,1,0,0,0,1,0,0,0,0
"ESBL17",1,1,0,1,1,1,0,1,0,1,1,1
"ESBL26",0,1,0,1,0,1,0,1,0,1,0,1
"ECOR50",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR54",0,0,0,0,0,0,0,1,0,0,0,0
"ECOR69",0,0,0,0,0,0,0,1,0,0,0,0
