,Master,Sub.plate,Treatment,Strain,OD,Read,Time
1,2,1,Basal,ECOR31,0.3877,38,44.48815562
2,2,1,Basal,ECOR31,0.5019,12,13.76084598
3,2,1,Basal,ECOR31,0.4839,11,12.588198
4,2,1,Basal,ECOR31,0.5245,20,23.2117792
5,2,1,Basal,ECOR31,0.4581,29,33.8161427
6,2,1,Basal,ECOR31,0.059,2,1.9778964
7,2,1,Basal,ECOR31,0.5202,21,24.38513935
8,2,1,Basal,ECOR31,0.378,39,45.67134823
9,2,1,Basal,ECOR31,0.5232,18,20.82770496
10,2,1,Basal,ECOR31,0.2037,4,4.329056566
11,2,1,Basal,ECOR31,0.0451,1,0.806910536
12,2,1,Basal,ECOR31,0.3923,37,43.29880339
13,2,1,Basal,ECOR31,0.3135,7,7.860965135
14,2,1,Basal,ECOR31,0.4934,25,29.10414992
15,2,1,Basal,ECOR31,0.4647,28,32.63416076
16,2,1,Basal,ECOR31,0.4115,35,40.90764169
17,2,1,Basal,ECOR31,0.4195,34,39.71909646
18,2,1,Basal,ECOR31,0.4783,26,30.28517313
19,2,1,Basal,ECOR31,0.5009,24,27.91991787
20,2,1,Basal,ECOR31,0.4021,9,10.21156321
21,2,1,Basal,ECOR31,0.43,32,37.37095944
22,2,1,Basal,ECOR31,0.5137,13,14.93155806
23,2,1,Basal,ECOR31,0.4476,10,11.39955138
24,2,1,Basal,ECOR31,0.523,15,17.28863548
25,2,1,Basal,ECOR31,0.3591,8,9.033915113
26,2,1,Basal,ECOR31,0.5279,16,18.47008381
27,2,1,Basal,ECOR31,0.5235,19,22.02809909
28,2,1,Basal,ECOR31,0.4373,31,36.19401463
29,2,1,Basal,ECOR31,0.4728,27,31.457789
30,2,1,Basal,ECOR31,0.1174,3,3.151662635
31,2,1,Basal,ECOR31,0.4016,36,42.11680312
32,2,1,Basal,ECOR31,0.4483,30,35.0038429
33,2,1,Basal,ECOR31,0.3672,40,46.83731319
34,2,1,Basal,ECOR31,0.5242,17,19.65552598
35,2,1,Basal,ECOR31,0.5156,22,25.56193428
36,2,1,Basal,ECOR31,0.2725,6,6.689274048
37,2,1,Basal,ECOR31,0.2342,5,5.512187951
38,2,1,Basal,ECOR31,0.3594,41,48.00506394
39,2,1,Basal,ECOR31,0.4274,33,38.54846787
40,2,1,Basal,ECOR31,0.5104,23,26.74274288
41,2,1,Basal,ECOR31,0.5216,14,16.11203878
42,2,1,Basal,707978,0.5115,38,44.49021482
43,2,1,Basal,707978,0.5955,25,29.10620871
44,2,1,Basal,707978,0.3304,5,5.514246334
45,2,1,Basal,707978,0.5523,29,33.81820191
