"","Strain","Treatment","Master","Sub.Plate","A","b2","b3","Sigma","AEst","Rate","Infl","Max.Rate"
"1","705963","Basal",1,1,1.05773881185996,3.56161544561655,0.891230813334405,0.0324062207530171,0.77016893648357,0.115151835300893,11.0307770212941,0.0448079239538262
"2","706090","Basal",1,1,0.718080387483915,3.69234122304734,0.857346195613388,0.0273595277435275,0.620695268922866,0.153913479745803,8.48698071672784,0.0406588639992186
"3","707404","Basal",1,1,0.625182110371267,3.34875979454536,0.79774325110785,0.0205859485890114,0.607246709066294,0.22596847376825,5.34848975414225,0.0519708610890775
"4","707414","Basal",1,1,0.618318471898583,3.01391185610848,0.737845071367633,0.0227591670672764,0.615181522161212,0.304021406816296,3.62881964960431,0.0691547321249152
"5","707448","Basal",1,1,0.52639513074052,2.9844917612201,0.826564271777658,0.0175208088421898,0.498393973434818,0.190477600948186,5.74046219952933,0.0368859772391961
"6","707465","Basal",1,1,0.641824205646295,2.80769105811701,0.851212871939658,0.0257598752059984,0.583475031981364,0.161093038399535,6.40848585593239,0.0380363104088225
"7","707477","Basal",1,1,0.501725475600258,3.41576643229627,0.74670288910255,0.0337612751827073,0.498023346563255,0.292087911786924,4.20558965091391,0.0539119766479316
"8","707590","Basal",1,1,0.48823457710648,3.52695379509573,0.826562886515307,0.0168792117720285,0.45769441983629,0.190479276877765,6.61717416974191,0.034212261664819
"9","707622","Basal",1,1,0.521303966892803,2.86626298645526,0.892241172660839,0.0157081225067597,0.40135658824904,0.114018810008144,9.23539796566781,0.0218661866975497
"10","707667","Basal",1,1,0.592913950913744,3.32036759268633,0.846392954459292,0.0154388057761416,0.536466140976987,0.166771542039293,7.19592493307532,0.0363763509932115
"11","707680","Basal",1,1,0.537266519721569,3.15268854177581,0.828180181952717,0.0179165758033928,0.505897971159742,0.188524537216723,6.09074877512969,0.0372617441400352
"12","707708","Basal",1,1,0.565532788600491,3.36801340535092,0.844822838576242,0.0194051794746193,0.512944524938646,0.168628332096031,7.20118061709644,0.0350827680518245
"13","707732","Basal",1,1,0.648851959566852,3.44885866071838,0.762879311485248,0.0144891311702816,0.641286257260149,0.270655436506054,4.57424158668767,0.064605262230638
"14","707797","Basal",1,1,1.36595096691779,2.95189833680003,0.936639913934337,0.0438682626007086,0.647383335002174,0.0654563673662862,16.5369468387173,0.0328921701049631
"15","707870","Basal",1,1,0.625678642353536,3.4239628573456,0.798627307333996,0.0218069880530182,0.606906677492055,0.224860890930611,5.47360016848201,0.051757200258969
"16","707970","Basal",1,1,0.525188044395426,3.32669603137562,0.77416807690614,0.0161238544764365,0.517161504598216,0.255966275341342,4.69585154169326,0.0494541905737226
"17","707971","Basal",1,1,0.563159770312647,3.25822101104802,0.811224574387301,0.0179331472086486,0.540933795789423,0.209210352734121,5.64590293386501,0.0433431342398979
"18","707978","Basal",1,1,0.633917606696726,3.08976076818063,0.840040072908563,0.0280504136993302,0.5854876049097,0.174305682439138,6.47192708135375,0.040649001103795
"19","708018","Basal",1,1,0.623380685687618,4.81026634736856,0.820446708675068,0.0165963599839325,0.578120563021407,0.197906320378424,7.9368483697459,0.0453856463328354
"20","708027","Basal",1,1,0.66728097813733,2.4784782965732,0.864958993357538,0.0273647465752589,0.59313731733757,0.14507317969706,6.25646162617603,0.0356124123099569
"21","ECOR1","Basal",1,1,0.611462440053113,3.00933051369218,0.802671150108293,0.0191945895303969,0.593528230708493,0.219810175554045,5.0121320841695,0.0494450814060632
"22","ECOR10","Basal",1,1,0.638607240611835,7.05276053957252,0.709043762510257,0.063872216757253,0.63532169696413,0.343838030080887,5.68121887395508,0.0807780316626843
"23","ECOR11","Basal",1,1,0.553435644017981,4.3851343700926,0.731497432544981,0.046970839876303,0.550030156146593,0.312661568377767,4.72786046634047,0.0636571435099924
"24","ECOR12","Basal",1,1,0.567933030103628,3.62808804737071,0.826282384322253,0.0162241310696749,0.531673188917912,0.190818694245737,6.75356157266277,0.0398679188040019
"25","ECOR13","Basal",1,1,0.558597817651522,4.07953766916542,0.775845329165647,0.0121200642451701,0.547665718553783,0.253802096750914,5.539684989262,0.0521554814059917
