,Strain,Contig,ARG,Per.ID,Length,MiMa,Gap,C.Start,C.End,A.Start,A.End,E.val,Bit.Score,Per.Pos
5989,705963,NODE_1,BAC0087|mgtA|sp|P0ABB8|ATMA_ECOLI,99.555,898,4,0,27986,30679,898,1,0,1777,99.67
6046,705963,NODE_1,BAC0378|sugE|sp|P69937|SUGE_ECOLI,99.048,105,1,0,125847,126161,105,1,1.93E-45,160,100
6018,705963,NODE_1,BAC0113|cutA|sp|P69488|CUTA_ECOLI,99.107,112,1,0,137366,137701,1,112,3.21E-58,196,99.11
5993,705963,NODE_1,BAC0485|pmrC|tr|Q70FH1|Q70FH1_PECCC,58.922,538,221,0,243603,245216,7,544,0,668,76.39
6010,705963,NODE_1,BAC0487|pmrA|sp|Q70FH0|PMRA_PECSS,59.729,221,89,0,245228,245890,1,221,3.32E-72,241,78.73
5998,705963,NODE_1,BAC0488|pmrB|sp|Q70FG9|PMRB_PECSS,56.374,353,149,3,245930,246979,10,360,2.90E-113,365,71.39
5997,705963,NODE_1,BAC0220|mdtN/yjcR|sp|P32716|MDTN_ECOLI,98.542,343,5,0,274452,275480,1,343,3.53E-173,536,99.71
5992,705963,NODE_1,BAC0564|actP/yjcG|sp|P32705|ACTP_ECOLI,99.454,549,3,0,299284,300930,1,549,0,945,100
6002,705963,NODE_1,BAC0370|soxR|sp|P0ACS2|SOXR_ECOLI,99.351,154,1,0,306786,307247,154,1,2.61E-97,310,99.35
6013,705963,NODE_1,BAC0371|soxS|sp|P0A9E2|SOXS_ECOLI,100,107,0,0,307333,307653,1,107,1.55E-66,220,100
6173,705963,NODE_1,BAC0316|pstB|sp|P0AAH0|PSTB_ECOLI,44.186,43,19,1,310851,310964,10,52,0.63,35,60.47
6265,705963,NODE_1,BAC0440|yfeB|sp|Q56953|YFEB_YERPE,45.455,77,38,2,313290,313520,134,206,1.84E-08,58.9,64.94
6006,705963,NODE_1,BAC0089|corR|tr|Q1D6V8|Q1D6V8_MYXXD,40.761,368,216,2,317590,318690,6,372,3.64E-81,276,60.6
6000,705963,NODE_1,BAC0470|zur/yjbK|sp|P0AC51|ZUR_ECOLI,97.661,171,4,0,336080,336592,1,171,8.53E-111,349,99.42
5995,705963,NODE_1,BAC0196|iclR|sp|P16528|ICLR_ECOLI,99.63,270,1,0,375933,376742,1,270,5.15E-180,552,100
6009,705963,NODE_1,BAC0447|yjaA|sp|P09162|YJAA_ECOLI,97.638,127,3,0,383347,383727,127,1,3.72E-78,254,98.43
34,705963,NODE_10,BAC0114|cutC|sp|P67826|CUTC_ECOLI,98.387,248,4,0,53521,54264,248,1,8.01E-155,478,98.79
64,705963,NODE_10,BAC0638|copR|tr|C6FFR4|C6FFR4_PSEFL,36.25,80,39,4,62389,62625,114,46,0.008,40,60
92,705963,NODE_10,BAC0497|pfr|sp|P52093|FTN_HELPY,44.872,156,86,0,80841,81308,1,156,5.99E-41,149,65.38
32,705963,NODE_10,BAC0290|opmD/nmpC|sp|P37592|OMPD_SALTY,82.991,341,52,2,102994,104001,23,362,0,565,89.15
60,705963,NODE_10,BAC0150|emrE/mvrC|sp|P23895|EMRE_ECOLI,98.182,110,2,0,106036,106365,110,1,9.83E-66,217,99.09
152,705963,NODE_10,BAC0154|evgA|sp|P0ACZ4|EVGA_ECOLI,32.075,53,36,0,118387,118545,143,195,3.1,32,60.38
90,705963,NODE_10,BAC0451|yodD|sp|P64519|YODD_ECOLI,100,75,0,0,118997,119221,1,75,3.94E-43,151,100
33,705963,NODE_10,BAC0290|opmD/nmpC|sp|P37592|OMPD_SALTY,55.362,345,134,5,128127,129116,23,362,5.29E-111,358,70.14
